Unique ID,Match Name,Date,Event,Brand/Promotion,YouTube Link,Dailymotion Link,Other Link,Thumbnail Link
"Ric Flair vs. Butch Reed [ a ] - CWF - April 7, 1982 - Miami Beach show",Ric Flair vs. Butch Reed [ a ],"April 7, 1982",Miami Beach show,CWF,,,,
"Dynamite Kid vs. Tiger Mask - NJPW - April 21, 1983 - Big Fight Series II Night 19",Dynamite Kid vs. Tiger Mask,"April 21, 1983",Big Fight Series II Night 19,NJPW,,,,
"Kazuo Yamazaki vs. Nobuhiko Takada - UWF - December 5, 1984 - Year-End Special Day 10",Kazuo Yamazaki vs. Nobuhiko Takada,"December 5, 1984",Year-End Special Day 10,UWF,,,,
"Bruiser Brody and Stan Hansen vs. Dory Funk Jr. and Terry Funk - AJPW - December 8, 1984 - Real World Tag League Night 15",Bruiser Brody and Stan Hansen vs. Dory Funk Jr. and Terry Funk,"December 8, 1984",Real World Tag League Night 15,AJPW,,,,
"Kuniaki Kobayashi vs. Tiger Mask - AJPW - March 9, 1985 - 85 Gekitoh! Exciting Wars Night 14",Kuniaki Kobayashi vs. Tiger Mask,"March 9, 1985",85 Gekitoh! Exciting Wars Night 14,AJPW,,,,
"Lioness Asuka vs. Jaguar Yokota - AJW - August 22, 1985 - Summer Night Festival in Budokan",Lioness Asuka vs. Jaguar Yokota,"August 22, 1985",Summer Night Festival in Budokan,AJW,,,,
"Jumbo Tsuruta and Genichiro Tenryu vs. Riki Choshu and Yoshiaki Yatsu - AJPW - January 28, 1986 - New Years War Super Battle Night 25",Jumbo Tsuruta and Genichiro Tenryu vs. Riki Choshu and Yoshiaki Yatsu,"January 28, 1986",New Years War Super Battle Night 25,AJPW,,,,
"Ric Flair vs. Barry Windham - CWF - February 14, 1986 - Battle of the Belts 2",Ric Flair vs. Barry Windham,"February 14, 1986",Battle of the Belts 2,CWF,,,,
"The Fantastics ( Bobby Fulton and Tommy Rogers ) vs. The Sheepherders ( Butch Miller and Luke Williams ) - JCP - April 19, 1986 - Crockett Cup",The Fantastics ( Bobby Fulton and Tommy Rogers ) vs. The Sheepherders ( Butch Miller and Luke Williams ),"April 19, 1986",Crockett Cup,JCP,,,,
"Ric Flair vs. Barry Windham - JCP - January 20, 1987 - World Wide Wrestling",Ric Flair vs. Barry Windham,"January 20, 1987",World Wide Wrestling,JCP,,,,
"Chigusa Nagayo vs. Lioness Asuka - AJW - February 26, 1987 - Kawasaki show",Chigusa Nagayo vs. Lioness Asuka,"February 26, 1987",Kawasaki show,AJW,,,,
"Akira Maeda and Nobuhiko Takada vs. Keiji Muto and Shiro Koshinaka - NJPW - March 20, 1987 - Spring Flare Up Night 21",Akira Maeda and Nobuhiko Takada vs. Keiji Muto and Shiro Koshinaka,"March 20, 1987",Spring Flare Up Night 21,NJPW,,,,
"Ric Flair vs. Barry Windham - JCP - April 11, 1987 - Crockett Cup",Ric Flair vs. Barry Windham,"April 11, 1987",Crockett Cup,JCP,,,,
